"s"
"Year","GDP-US $ billion nominal","Population-US million","Welfare-fed $ billion nominal","","Welfare-state $ billion nominal","","Welfare-local $ billion nominal",""
"1845","1.842","19.897","0.00","","0.00","","0.00",""
"1846","2.045","20.516","0.00","","0.00","","0.00",""
"1847","2.387","21.154","0.00","","0.00","","0.00",""
"1848","2.404","21.813","0.00","","0.00","","0.00",""
"1849","2.395","22.492","0.00","","0.00","","0.00",""
"1850","2.556","23.192","0.00","","0.00","","0.00",""
"1851","2.698","23.909","0.00","","0.00","","0.00",""
"1852","3.037","24.648","0.00","","0.00","","0.00",""
"1853","3.279","25.409","0.00","","0.00","","0.00",""
"1854","3.677","26.195","0.00","","0.00","","0.00",""
"1855","3.937","27.004","0.00","","0.00","","0.00",""
"1856","4.009","27.839","0.00","","0.00","","0.00",""
"1857","4.14","28.699","0.00","","0.00","","0.00",""
"1858","4.054","29.586","0.00","","0.00","","0.00",""
"1859","4.383","30.501","0.00","","0.00","","0.00",""
"1860","4.345","31.443","0.00","","0.00","","0.00",""
"1861","4.599","32.091","0.00","","0.00","","0.00",""
"1862","5.788","32.753","0.00","","0.00","","0.00",""
"1863","7.625","33.428","0.00","","0.00","","0.00",""
"1864","9.457","34.117","0.00","","0.00","","0.00",""
"1865","9.881","34.820","0.00","","0.00","","0.00",""
"1866","8.995","35.537","0.00","","0.00","","0.00",""
"1867","8.344","36.270","0.00","","0.00","","0.00",""
"1868","8.146","37.017","0.00","","0.00","","0.00",""
"1869","7.845","37.780","0.00","","0.00","","0.00",""
"1870","7.737","38.558","0.00","","0.00","","0.00",""
"1871","7.592","39.588","0.00","","0.00","","0.00",""
"1872","8.23","40.646","0.00","","0.00","","0.00",""
"1873","8.753","41.732","0.00","","0.00","","0.00",""
"1874","8.482","42.847","0.00","","0.00","","0.00",""
"1875","8.16","43.991","0.00","","0.00","","0.00",""
"1876","8.308","45.166","0.00","","0.00","","0.00",""
"1877","8.521","46.373","0.00","","0.00","","0.00",""
"1878","8.379","47.612","0.00","","0.00","","0.00",""
"1879","9.359","48.883","0.00","","0.00","","0.00",""
"1880","10.362","50.189","0.00","","0.00","","0.00",""
"1881","11.628","51.342","0.00","","0.00","","0.00",""
"1882","12.214","52.521","0.00","","0.00","","0.00",""
"1883","12.316","53.726","0.00","","0.00","","0.00",""
"1884","11.782","54.960","0.00","","0.00","","0.00",""
"1885","11.593","56.222","0.00","","0.00","","0.00",""
"1886","12.18","57.513","0.00","","0.00","","0.00",""
"1887","13.146","58.833","0.00","","0.00","","0.00",""
"1888","13.866","60.184","0.00","","0.00","","0.00",""
"1889","13.853","61.566","0.00","","0.00","","0.00",""
"1890","15.077","62.980","0.00","","0.00","a","0.00","a"
"1891","15.409","64.192","0.00","","0.00","i","0.00","i"
"1892","16.356","65.428","0.00","","0.00","i","0.00","i"
"1893","15.417","66.688","0.00","","0.00","i","0.00","i"
"1894","14.143","67.972","0.00","","0.00","i","0.00","i"
"1895","15.603","69.281","0.00","","0.00","i","0.00","i"
"1896","15.493","70.615","0.00","","0.00","i","0.01","i"
"1897","16.153","71.974","0.00","","0.00","i","0.01","i"
"1898","18.088","73.360","0.00","","0.01","i","0.01","i"
"1899","19.506","74.773","0.00","","0.01","i","0.01","i"
"1900","20.567","76.212","0.00","","0.01","i","0.02","i"
"1901","22.269","77.680","0.00","","0.01","i","0.02","i"
"1902","24.062","79.176","0.01","a","0.01","a","0.03","a"
"1903","25.93","80.701","0.01","i","0.01","i","0.03","i"
"1904","25.681","82.255","0.01","i","0.01","i","0.03","i"
"1905","28.788","83.839","0.01","i","0.01","i","0.03","i"
"1906","31.037","85.453","0.01","i","0.01","i","0.03","i"
"1907","33.851","87.099","0.01","i","0.01","i","0.03","i"
"1908","30.133","88.776","0.01","i","0.01","i","0.03","i"
"1909","32.229","90.486","0.01","i","0.01","i","0.03","i"
"1910","33.423","92.229","0.01","i","0.01","i","0.03","i"
"1911","34.343","93.523","0.01","i","0.02","i","0.03","i"
"1912","37.384","94.836","0.01","i","0.02","i","0.04","i"
"1913","39.14","96.167","0.01","a","0.02","a","0.04","a"
"1914","36.479","97.516","0.01","i","0.02","i","0.04","i"
"1915","38.675","98.885","0.01","i","0.02","i","0.04","i"
"1916","49.638","100.273","0.01","i","0.02","i","0.05","i"
"1917","59.702","101.680","0.01","i","0.02","i","0.05","i"
"1918","75.835","103.107","0.01","i","0.03","i","0.06","i"
"1919","78.333","104.554","0.01","i","0.03","i","0.06","i"
"1920","88.393","106.022","0.01","i","0.03","i","0.07","i"
"1921","73.603","107.626","0.01","i","0.04","i","0.07","i"
"1922","73.432","109.254","0.01","a","0.08","a","0.08","a"
"1923","85.414","110.908","0.01","i","0.09","i","0.09","i"
"1924","86.947","112.586","0.01","i","0.09","i","0.09","i"
"1925","90.575","114.290","0.01","i","0.09","i","0.10","i"
"1926","96.949","116.019","0.01","i","0.10","i","0.10","i"
"1927","95.544","117.775","0.01","a","0.10","a","0.11","a"
"1928","97.365","119.557","0.01","i","0.10","i","0.14","i"
"1929","103.6","121.366","0.00","i","0.10","i","0.18","i"
"1930","91.2","123.203","0.00","i","0.11","i","0.23","i"
"1931","76.5","124.071","0.00","i","0.11","i","0.29","i"
"1932","58.7","124.945","0.00","a","0.12","a","0.37","a"
"1933","56.4","125.825","0.30","i","0.26","i","0.45","i"
"1934","66","126.712","0.59","a","0.40","a","0.53","a"
"1935","73.3","127.605","0.56","i","0.43","i","0.47","i"
"1936","83.8","128.504","0.53","a","0.47","a","0.41","a"
"1937","91.9","129.410","0.53","i","0.59","i","0.51","i"
"1938","86.1","130.321","0.53","a","0.71","a","0.62","a"
"1939","92.2","131.240","0.54","i","0.89","i","0.74","i"
"1940","101.4","132.165","0.55","a","1.07","a","0.86","a"
"1941","126.7","133.966","0.73","i","1.02","i","0.90","i"
"1942","161.9","135.792","0.91","a","0.96","a","0.95","a"
"1943","198.6","137.643","0.96","i","0.85","i","0.78","i"
"1944","219.8","139.519","1.00","a","0.73","a","0.61","a"
"1945","223","141.421","0.83","i","1.24","i","0.73","i"
"1946","222.2","143.349","0.65","a","1.75","a","0.85","a"
"1947","244.1","145.303","0.85","i","1.80","i","1.08","i"
"1948","269.1","147.283","1.06","a","1.86","a","1.32","a"
"1949","267.2","149.291","1.34","i","2.72","i","1.57","i"
"1950","293.7","151.326","1.62","a","3.58","a","1.83","a"
"1951","339.3","153.917","1.57","a","3.08","i","2.23","i"
"1952","358.3","156.552","1.51","a","2.58","a","2.15","a"
"1953","379.3","159.232","1.81","a","2.66","a","2.01","a"
"1954","380.4","161.958","1.95","a","5.39","a","2.13","a"
"1955","414.7","164.731","1.98","a","3.64","a","2.07","a"
"1956","437.4","167.551","1.96","a","3.15","a","1.98","a"
"1957","461.1","170.420","2.10","a","3.63","a","2.17","a"
"1958","467.2","173.337","2.56","a","5.03","a","2.48","a"
"1959","506.6","176.305","2.80","a","5.76","a","2.63","a"
"1960","526.4","179.323","3.01","a","4.99","a","3.04","a"
"1961","544.8","181.588","3.24","a","6.23","a","3.35","a"
"1962","585.7","183.881","7.25","a","5.72","a","3.73","a"
"1963","617.8","186.204","7.07","a","5.88","a","3.89","a"
"1964","663.6","188.555","7.10","a","5.54","a","4.11","a"
"1965","719.1","190.937","6.60","a","5.68","a","4.55","a"
"1966","787.7","193.348","6.35","a","4.94","a","5.01","a"
"1967","832.4","195.790","6.46","a","5.81","a","5.38","a"
"1968","909.8","198.263","7.53","a","6.15","a","6.36","a"
"1969","984.4","200.766","8.29","a","7.02","a","7.54","a"
"1970","1038.3","203.302","10.11","a","9.13","a","8.60","a"
"1971","1126.8","205.515","16.36","a","13.43","a","9.65","a"
"1972","1237.9","207.752","19.97","a","14.68","a","10.39","a"
"1973","1382.3","210.013","19.38","a","16.24","a","11.20","a"
"1974","1499.5","212.299","22.93","a","17.06","a","11.74","a"
"1975","1637.7","214.609","36.94","a","26.25","a","12.35","a"
"1976","1824.6","216.945","45.32","a","33.85","a","12.95","a"
"1977","2030.1","219.307","43.33","a","31.21","a","13.51","a"
"1978","2293.8","221.694","41.65","a","29.19","a","14.37","a"
"1979","2562.2","224.107","43.70","a","28.31","a","15.78","a"
"1980","2788.1","226.546","59.95","a","35.47","a","18.12","a"
"1981","3126.8","228.670","69.00","a","43.44","a","20.13","a"
"1982","3253.2","230.815","73.81","a","47.11","a","22.19","a"
"1983","3534.6","232.979","86.50","a","53.45","a","22.51","a"
"1984","3930.9","235.164","75.27","a","48.00","a","24.40","a"
"1985","4217.5","237.369","90.36","a","50.99","a","26.29","a"
"1986","4460.1","239.595","79.24","a","52.41","a","27.77","a"
"1987","4736.4","241.842","80.31","a","56.14","a","29.48","a"
"1988","5100.4","244.110","83.46","a","57.68","a","31.67","a"
"1989","5482.1","246.399","88.22","a","64.45","i","34.72","i"
"1990","5800.5","248.710","96.63","a","68.86","a","37.77","a"
"1991","5992.1","251.802","116.31","a","81.29","a","41.82","a"
"1992","6342.3","254.933","141.92","a","82.50","a","43.20","a"
"1993","6667.4","258.103","149.88","a","88.16","a","45.72","a"
"1994","7085.2","261.312","154.63","a","82.97","a","48.06","a"
"1995","7414.7","264.561","157.92","a","92.04","a","50.66","a"
"1996","7838.5","267.850","161.67","a","86.01","a","51.54","a"
"1997","8332.4","271.180","163.49","a","84.33","a","51.60","a"
"1998","8793.5","274.552","164.27","a","75.83","a","53.07","a"
"1999","9353.5","277.966","167.33","a","80.47","a","54.03","a"
"2000","9951.5","282.172","176.57","a","82.50","a","56.17","a"
"2001","10286.2","285.082","188.80","a","90.77","a","60.82","i"
"2002","10642.3","287.804","229.36","a","115.18","a","65.48","a"
"2003","11142.2","290.326","249.48","a","129.24","a","68.80","i"
"2004","11853.3","293.046","244.33","a","122.99","a","72.12","a"
"2005","12623","295.507","252.50","a","112.28","a","76.22","a"
"2006","13377.2","298.109","254.18","a","113.23","a","79.15","a"
"2007","14028.7","300.733","262.06","a","115.10","a","81.74","a"
"2008","14369.1","303.380","322.32","a","127.28","a","86.60","a"
"2009","13939","306.051","415.11","a","162.74","a","88.06","a"
"2010","14508.2","308.746","502.34","a","237.22","a","90.68","a"
"2011","14958.6","311.592","472.90","a","224.29","a","93.64","e"
"2012","15547.4","314.123","418.96","a","202.66","g","96.23","g"
"2013","16202.7","316.847","430.43","b","179.69","g","98.72","g"
"2014","17011.4","319.594","400.94","b","161.98","g","101.62","g"
"2015","17936.1","322.366","388.31","b","154.02","g","105.39","g"
"2016","18934.2","325.010","392.74","b","157.59","g","110.31","g"
"2017","19980","327.676","390.66","b","171.92","g","116.44","g"
"2018","21024.8","330.363","389.60","b","194.25","g","123.58","g"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
" e - estimated by usgovernmentspending.com"
" g - 'guesstimated' projection by usgovernmentspending.com"
" b - budgeted estimate in US FY14 budget"
