s,,,,,,,,,
Year,GDP-US $ billion nominal,Population-US million,Education-fed $ billion nominal,,Education-xfer $ billion nominal,,Education-state $ billion nominal,,Education-local $ billion nominal
1841,1.636,17.601,0,,0,,0,,0
1842,1.602,18.149,0,,0,,0,,0
1843,1.553,18.714,0,,0,,0,,0
1844,1.686,19.296,0,,0,,0,,0
1845,1.842,19.897,0,,0,,0,,0
1846,2.045,20.516,0,,0,,0,,0
1847,2.387,21.154,0,,0,,0,,0
1848,2.404,21.813,0,,0,,0,,0
1849,2.395,22.492,0,,0,,0,,0
1850,2.556,23.192,0,,0,,0,,0
1851,2.698,23.909,0,,0,,0,,0
1852,3.037,24.648,0,,0,,0,,0
1853,3.279,25.409,0,,0,,0,,0
1854,3.677,26.195,0,,0,,0,,0
1855,3.937,27.004,0,,0,,0,,0
1856,4.009,27.839,0,,0,,0,,0
1857,4.14,28.699,0,,0,,0,,0
1858,4.054,29.586,0,,0,,0,,0
1859,4.383,30.501,0,,0,,0,,0
1860,4.345,31.443,0,,0,,0,,0
1861,4.599,32.091,0,,0,,0,,0
1862,5.788,32.753,0,,0,,0,,0
1863,7.625,33.428,0,,0,,0,,0
1864,9.457,34.117,0,,0,,0,,0
1865,9.881,34.82,0,,0,,0,,0
1866,8.995,35.537,0,,0,,0,,0
1867,8.344,36.27,0,,0,,0,,0
1868,8.146,37.017,0,,0,,0,,0
1869,7.845,37.78,0,,0,,0,,0
1870,7.737,38.558,0,,0,,0,,0
1871,7.592,39.588,0,,0,,0,,0
1872,8.23,40.646,0,,0,,0,,0
1873,8.753,41.732,0,,0,,0,,0
1874,8.482,42.847,0,,0,,0,,0
1875,8.16,43.991,0,,0,,0,,0
1876,8.308,45.166,0,,0,,0,,0
1877,8.521,46.373,0,,0,,0,,0
1878,8.379,47.612,0,,0,,0,,0
1879,9.359,48.883,0,,0,,0,,0
1880,10.362,50.189,0,,0,,0,,0
1881,11.628,51.342,0,,0,,0,,0
1882,12.214,52.521,0,,0,,0,,0
1883,12.316,53.726,0,,0,,0,,0
1884,11.782,54.96,0,,0,,0,,0
1885,11.593,56.222,0,,0,,0,,0
1886,12.18,57.513,0,,0,,0,,0,
1887,13.146,58.833,0,,0,,0,,0,
1888,13.866,60.184,0,,0,,0,,0,
1889,13.853,61.566,0,,0,,0,,0,
1890,15.077,62.98,0,,0,,0.01,a,0.14,a
1891,15.409,64.192,0,,0,,0.01,i,0.15,i
1892,16.356,65.428,0,,0,,0.01,i,0.15,i
1893,15.417,66.688,0,,0,,0.01,i,0.16,i
1894,14.143,67.972,0,,0,,0.01,i,0.17,i
1895,15.603,69.281,0,,0,,0.01,i,0.17,i
1896,15.493,70.615,0,,0,,0.01,i,0.18,i
1897,16.153,71.974,0,,0,,0.01,i,0.19,i
1898,18.088,73.36,0,,0,,0.01,i,0.2,i
1899,19.506,74.773,0,,0,,0.01,i,0.21,i
1900,20.567,76.212,0,,0,,0.01,i,0.21,i
1901,22.269,77.68,0,,0,,0.02,i,0.22,i
1902,24.062,79.176,0,a,0,a,0.02,a,0.23,a
1903,25.93,80.701,0,i,0,i,0.02,i,0.25,i
1904,25.681,82.255,0,i,0,i,0.02,i,0.27,i
1905,28.788,83.839,0,i,0,i,0.02,i,0.29,i
1906,31.037,85.453,0.01,i,0,i,0.03,i,0.31,i
1907,33.851,87.099,0.01,i,0,i,0.03,i,0.34,i
1908,30.133,88.776,0.01,i,0,i,0.03,i,0.36,i
1909,32.229,90.486,0.01,i,0,i,0.04,i,0.39,i
1910,33.423,92.229,0.01,i,0,i,0.04,i,0.42,i
1911,34.343,93.523,0.01,i,0,i,0.04,i,0.45,i
1912,37.384,94.836,0.01,i,0,i,0.05,i,0.49,i
1913,39.14,96.167,0.01,a,0,a,0.06,a,0.52,a
1914,36.479,97.516,0.01,i,0,i,0.06,i,0.59,i
1915,38.675,98.885,0.01,i,0,i,0.07,i,0.66,i
1916,49.638,100.273,0.01,i,0,i,0.08,i,0.75,i
1917,59.702,101.68,0.01,i,0,i,0.09,i,0.85,i
1918,75.835,103.107,0.01,i,-0.01,i,0.1,i,0.95,i
1919,78.333,104.554,0.01,i,-0.01,i,0.11,i,1.07,i
1920,88.393,106.022,0.01,i,-0.01,i,0.13,i,1.21,i
1921,73.603,107.626,0.01,i,-0.01,i,0.15,i,1.37,i
1922,73.432,109.254,0.02,a,-0.01,a,0.16,a,1.54,a
1923,85.414,110.908,0.02,i,-0.01,i,0.17,i,1.63,i
1924,86.947,112.586,0.02,i,-0.01,i,0.18,i,1.72,i
1925,90.575,114.29,0.02,i,-0.01,i,0.2,i,1.81,i
1926,96.949,116.019,0.02,i,-0.01,i,0.21,i,1.91,i
1927,95.544,117.775,0.02,a,-0.01,a,0.22,a,2.02,a
1928,97.365,119.557,0.02,i,-0.01,i,0.23,i,2.02,i
1929,103.6,121.366,0.02,i,-0.01,i,0.23,i,2.02,i
1930,91.2,123.203,0.02,i,-0.01,i,0.24,i,2.03,i
1931,76.5,124.071,0.02,i,-0.01,i,0.25,i,2.03,i
1932,58.7,124.945,0.03,a,-0.01,a,0.28,a,2.03,a
1933,56.4,125.825,0.13,i,-0.04,i,0.25,i,1.82,i
1934,66,126.712,0.24,a,-0.06,a,0.23,a,1.6,a
1935,73.3,127.605,0.29,i,-0.1,i,0.26,i,1.74,i
1936,83.8,128.504,0.34,a,-0.15,a,0.3,a,1.88,a
1937,91.9,129.41,0.3,i,-0.13,i,0.32,i,2.01,i
1938,86.1,130.321,0.27,a,-0.11,a,0.35,a,2.14,a
1939,92.2,131.24,0.31,i,-0.13,i,0.36,i,2.2,i
1940,101.4,132.165,0.34,a,-0.15,a,0.38,a,2.26,a
1941,126.7,133.966,0.26,i,-0.12,i,0.38,i,2.23,i
1942,161.9,135.792,0.19,a,-0.08,a,0.39,a,2.2,a
1943,198.6,137.643,0.2,i,-0.13,i,0.44,i,2.25,i
1944,219.8,139.519,0.21,a,-0.19,a,0.49,a,2.3,a
1945,223,141.421,0.35,i,-0.17,i,0.5,i,2.57,i
1946,222.2,143.349,0.5,a,-0.15,a,0.52,a,2.84,a
1947,244.1,145.303,1.63,i,-0.28,i,0.8,i,3.57,i
1948,269.1,147.283,2.76,a,-0.42,a,1.08,a,4.3,a
1949,267.2,149.291,2.8,i,-0.39,i,1.22,i,5.06,i
1950,293.7,151.326,2.84,a,-0.37,a,1.36,a,5.82,a
1951,339.3,153.917,2.2,a,-0.31,a,1.43,i,6.28,i
1952,358.3,156.552,1.72,a,-0.44,a,1.49,a,6.82,a
1953,379.3,159.232,1.24,a,-0.51,a,1.63,a,7.76,a
1954,380.4,161.958,1.11,a,-0.48,a,1.71,a,8.84,a
1955,414.7,164.731,1.32,a,-0.52,a,1.91,a,10,a
1956,437.4,167.551,1.48,a,-0.54,a,2.14,a,11.08,a
1957,461.1,170.42,1.57,a,-0.6,a,2.34,a,11.79,a
1958,467.2,173.337,1.77,a,-0.85,a,2.73,a,13.19,a
1959,506.6,176.305,1.66,a,-0.83,a,3.09,a,14.19,a
1960,526.4,179.323,1.64,a,-0.95,a,3.4,a,15.32,a
1961,544.8,181.588,1.72,a,-1.08,a,3.79,a,16.78,a
1962,585.7,183.881,1.74,a,-1.17,a,4.27,a,17.95,a
1963,617.8,186.204,1.99,a,-1.12,a,4.72,a,19.01,a
1964,663.6,188.555,2.32,a,-1.37,a,5.47,a,20.82,a
1965,719.1,190.937,2.93,a,-1.68,a,6.18,a,22.38,a
1966,787.7,193.348,5.22,a,-3.01,a,7.57,a,25.72,a
1967,832.4,195.79,7.35,a,-3.92,a,9.39,a,28.53,a
1968,909.8,198.263,8.57,a,-4.73,a,10.96,a,30.2,a
1969,984.4,200.766,8.49,a,-4.78,a,12.35,a,34.93,a
1970,1038.3,203.302,9.58,a,-5.84,a,13.78,a,38.94,a
1971,1126.8,205.515,10.86,a,-6.8,a,15.91,a,43.51,a
1972,1237.9,207.752,13.51,a,-7.04,a,17.33,a,47.56,a
1973,1382.3,210.013,13.71,a,-7.57,a,18.83,a,50.89,a
1974,1499.5,212.299,13.47,a,-7.87,a,20.47,a,55.37,a
1975,1637.7,214.609,17.06,a,-9.08,a,23.68,a,64.18,a
1976,1824.6,216.945,19.95,a,-9.87,a,26.48,a,70.74,a
1977,2030.1,219.307,22.18,a,-10.35,a,27.94,a,74.85,a
1978,2293.8,221.694,27.87,a,-11.45,a,30.41,a,80.35,a
1979,2562.2,224.107,31.52,a,-12.3,a,32.2,a,87.25,a
1980,2788.1,226.546,33.22,a,-14.44,a,35.88,a,97.34,a
1981,3126.8,228.67,34.63,a,-15.83,a,40.24,a,105.55,a
1982,3253.2,230.815,28.22,a,-14.49,a,43,a,111.28,a
1983,3534.6,232.979,27.84,a,-14.62,a,45.11,a,118.77,a
1984,3930.9,235.164,28.76,a,-15.35,a,48.85,a,127.26,a
1985,4217.5,237.369,30.61,a,-16.76,a,53.67,a,139.02,a
1986,4460.1,239.595,31.98,a,-18.04,a,58.26,a,152.56,a
1987,4736.4,241.842,31.16,a,-18.38,a,61.65,a,165.01,a
1988,5100.4,244.11,33.34,a,-19.51,a,64.11,a,178.57,a
1989,5482.1,246.399,37.96,a,-21.37,i,69.8,i,195.61,i
1990,5800.5,248.71,39.99,a,-23.23,a,75.5,a,212.65,a
1991,5992.1,251.802,44.37,a,-25.2,a,80.47,a,229.2,a
1992,6342.3,254.933,46.29,a,-27.79,a,86.67,a,242.58,a
1993,6667.4,258.103,51.29,a,-30.41,a,90.64,a,256.31,a
1994,7085.2,261.312,47.11,a,-32.2,a,95.17,a,263.07,a
1995,7414.7,264.561,55.13,a,-34.04,a,101.79,a,281.77,a
1996,7838.5,267.85,52.31,a,-36.22,a,106.85,a,297.73,a
1997,8332.4,271.18,53.06,a,-35.99,a,111.92,a,313.42,a
1998,8793.5,274.552,55.82,a,-38.92,a,118.88,a,338.06,a
1999,9353.5,277.966,56.24,a,-42.05,a,126.5,a,363.6,a
2000,9951.5,282.172,59.93,a,-45.87,a,138.66,a,390.1,a
2001,10286.2,285.082,63.61,a,-50.1,i,152.85,a,415.31,i
2002,10642.3,287.804,77.83,a,-56,a,162.43,a,440.52,a
2003,11142.2,290.326,90.54,a,-61.77,i,171.09,a,461.91,i
2004,11853.3,293.046,96.37,a,-70.34,a,181.17,a,483.3,a
2005,12623,295.507,106.37,a,-74.74,a,191.11,a,506.99,a
2006,13377.2,298.109,127.58,a,-78.3,a,203.8,a,535.58,a
2007,14028.7,300.733,100.81,a,-79.52,a,213.46,a,570.97,a
2008,14369.1,303.38,100.86,a,-80.72,a,232.54,a,605.04,a
2009,13939,306.051,89.77,a,-88.93,a,243.79,a,620.36,a
2010,14508.2,308.746,140.33,a,-113.19,a,254.51,a,617.48,a
2011,14958.6,311.592,113.67,a,-112.18,e,262.28,a,546.33,e
2012,15547.4,314.123,103.28,a,-108.52,g,267.05,g,511.2,g
2013,16202.7,316.847,97.98,b,-104.22,g,270.44,g,516.96,g
2014,17011.4,319.594,141.82,b,-101.28,g,274.69,g,561.08,g
2015,17936.1,322.366,119.38,b,-101.19,g,281.8,g,634.83,g
2016,18934.2,325.01,119.39,b,-104.64,g,293.04,g,725.91,g
2017,19980,327.676,126.49,b,-111.55,g,308.76,g,821.44,g
2018,21024.8,330.363,133.54,b,-121.15,g,328.33,g,910.18,g

Legend:,,,,,,,,,,
 a - actual reported,,,,,,,,,,
 i - interpolated between actual reported values,,,,,,,,,,
 e - estimated by usgovernmentspending.com,,,,,,,,,,
 g - 'guesstimated' projection by usgovernmentspending.com,,,,,,,,,,
 b - budgeted estimate in US FY14 budget,,,,,,,,,,
